,Date,Starting NAV,Ending NAV,Daily PNL in $,Daily PNL in %,Cumulative Daily P&L
0,2019-10-03,496187.79,496817.56,629.77,0.13,629.77
1,2019-10-04,496817.56,496555.97,-261.59,-0.05,368.18
2,2019-10-07,496555.97,494995.23,-1560.74,-0.31,-1192.56
3,2019-10-08,494995.23,490351.33,-4643.9,-0.94,-5836.46
4,2019-10-10,492599.86,492200.6,-399.26,-0.08,-6235.72
5,2019-10-11,492200.6,497958.21,5757.61,1.17,-478.11
6,2019-10-14,497958.21,495419.26,-2538.95,-0.51,-3017.06
7,2019-10-15,495419.26,498542.41,3123.15,0.63,106.09
8,2019-10-16,498542.41,496308.58,-2233.83,-0.45,-2127.74
9,2019-10-17,496308.58,494818.85,-1489.73,-0.3,-3617.47
10,2019-10-18,494818.85,493119.21,-1699.64,-0.34,-5317.11
11,2019-10-21,493119.21,491721.42,-1397.79,-0.28,-6714.9
12,2019-10-22,491721.42,484680.34,-7041.08,-1.43,-13755.98
13,2019-10-23,484680.34,484307.34,-373.0,-0.08,-14128.98
14,2019-10-24,484307.34,487614.42,3307.08,0.68,-10821.9
15,2019-10-25,487614.42,485796.38,-1818.04,-0.37,-12639.94
16,2019-10-28,485796.38,487057.44,1261.06,0.26,-11378.88
17,2019-10-29,487057.44,487065.74,8.3,0.0,-11370.58
