"Row" "DV_SurgicalLesion" "DV_SurgicalL_hat"
1 0 1
3 1 1
6 1 1
7 1 1
10 1 1
12 0 1
14 1 1
15 1 1
16 0 1
18 1 1
20 1 1
22 1 1
23 1 1
24 1 1
26 1 1
27 0 1
28 0 1
32 1 1
33 1 1
34 1 1
37 1 1
39 1 1
40 1 1
43 1 1
44 1 1
45 1 1
46 1 1
48 1 1
51 1 1
54 1 1
55 1 1
56 1 1
57 1 1
58 1 1
62 1 1
64 1 1
65 1 1
66 1 1
70 1 1
72 1 1
73 1 1
74 1 1
75 1 1
76 1 1
78 1 1
79 1 1
80 1 1
81 1 1
82 1 1
83 1 1
84 1 1
86 1 1
91 1 1
95 1 1
97 0 1
100 0 1
101 1 1
103 1 1
104 1 1
105 1 1
106 1 1
108 1 1
109 1 1
110 1 1
112 1 1
113 1 1
114 1 1
116 1 1
118 1 1
120 1 1
121 1 1
123 1 1
125 1 1
126 1 1
127 1 1
128 0 1
129 1 1
130 1 1
132 1 1
134 1 1
135 1 1
136 1 1
140 0 1
142 1 1
144 0 1
146 1 1
147 1 1
148 1 1
151 1 1
152 1 1
157 1 1
160 1 1
161 1 1
163 1 1
164 1 1
165 0 1
166 0 1
168 1 1
169 1 1
171 1 1
172 1 1
173 1 1
175 1 1
176 1 1
177 1 1
178 1 1
180 1 1
182 1 1
185 1 1
186 1 1
187 1 1
188 1 1
189 1 1
190 1 1
192 1 1
193 1 1
200 1 1
201 1 1
202 1 1
204 1 1
206 1 1
207 1 1
208 1 1
210 1 1
211 1 1
212 0 1
213 1 1
217 1 1
218 1 1
219 1 1
220 0 1
221 1 1
222 1 1
223 1 1
224 1 1
226 1 1
227 1 1
228 1 1
229 1 1
230 1 1
232 1 1
233 1 1
235 1 1
238 1 1
239 1 1
240 1 1
242 1 1
243 1 1
244 1 1
246 1 1
247 1 1
248 1 1
250 1 1
252 1 1
254 1 1
255 1 1
256 1 1
257 1 1
259 1 1
263 1 1
264 1 1
267 0 1
268 0 1
269 1 1
270 1 1
271 1 1
272 1 1
273 1 1
274 1 1
275 1 1
282 1 1
283 1 1
285 1 1
288 1 1
291 1 1
292 1 1
293 0 1
295 0 1
296 1 1
297 1 1
298 1 1
299 0 1
0 0 0
2 0 0
4 0 0
5 0 0
8 1 0
9 0 0
11 1 0
13 0 0
17 0 0
19 0 0
21 0 0
25 0 0
29 0 0
30 1 0
31 1 0
35 1 0
36 0 0
38 0 0
41 1 0
42 0 0
47 0 0
49 0 0
50 0 0
52 0 0
53 0 0
59 1 0
60 0 0
61 0 0
63 0 0
67 0 0
68 0 0
69 0 0
71 0 0
77 0 0
85 0 0
87 1 0
88 0 0
89 0 0
90 1 0
92 0 0
93 1 0
94 0 0
96 1 0
98 0 0
99 0 0
102 0 0
107 0 0
111 1 0
115 0 0
117 1 0
119 0 0
122 0 0
124 1 0
131 1 0
133 1 0
137 1 0
138 0 0
139 0 0
141 0 0
143 0 0
145 1 0
149 0 0
150 0 0
153 0 0
154 1 0
155 0 0
156 0 0
158 0 0
159 0 0
162 0 0
167 0 0
170 0 0
174 1 0
179 0 0
181 0 0
183 0 0
184 0 0
191 0 0
194 0 0
195 0 0
196 0 0
197 1 0
198 0 0
199 0 0
203 0 0
205 0 0
209 0 0
214 0 0
215 1 0
216 0 0
225 0 0
231 0 0
234 0 0
236 0 0
237 0 0
241 0 0
245 1 0
249 0 0
251 1 0
253 0 0
258 0 0
260 0 0
261 0 0
262 0 0
265 1 0
266 0 0
276 0 0
277 0 0
278 0 0
279 0 0
280 0 0
281 1 0
284 0 0
286 1 0
287 0 0
289 1 0
290 0 0
294 0 0
