"Jour";"Date";"Adulte - Consultation de suivi";"Adulte - Premiere consultation ";"Detartrage";"Enfant - Premiere consultation dentaire ";"Pose de prothese dentaire (couronne)";"Enfant - Consultation de suivi ";"Bilan bucco-dentaire";"Extraction dentaire";"Endodontie";"Taille et empreinte";"Parodontie";"Adulte - 1ere consultation d'orthodontie (a ete supprime)";"Enfant - 1ere consultation d'orthodontie (a ete supprime)";"Pose d'implant dentaire";"Adule Premiere consultation";"Enfant Premiere consultation";"Suivi du traitement  (a ete supprime)";"Non renseigne";"Pose / Collage Long ";"Empreinte";"Empreinte alignement (Invisalign)";"Pose / Collage Court ";"Suivi traitement"
mercredi;2018-09-12;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-09-13;"1";"7";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-09-14;"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-09-17;"0";"6";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-09-18;"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-09-20;"1";"3";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-09-21;"1";"6";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-09-25;"0";"8";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-09-26;"1";"3";"2";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-09-27;"1";"6";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-09-28;"1";"8";"1";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-10-02;"1";"5";"4";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-10-03;"1";"6";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-10-04;"2";"15";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-10-05;"1";"12";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-10-08;"3";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-10-09;"2";"3";"2";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-10-10;"3";"6";"1";"4";"1";"1";"3";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-10-11;"0";"7";"2";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-10-12;"1";"6";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
