RAISON_SOCIALE;REF_ORGANISME;NOM_ORGANISME;NB_DOSSIERS;TOTAL;RO;RC;PATIENT
SANTEVY; ; SANS MUTUELLE;840;162363,72;43560,31;0;118803,41
SANTEVY;AMERC75;AME PARIS;1;23;0;23;0
SANTEVY;AMERC77;AME SEINE-ET-MARNE;1;63,38;0;63,38;0
SANTEVY;AMERC93;AME SEINE-SAINT-DENIS;30;5788,33;0;4788,33;1000
SANTEVY;AMERC94;AME VAL-DE-MARNE;1;23;0;23;0
SANTEVY;VIAKALIVIA;VIAMEDIS;8;3156,25;734,2;1719,75;702,3
SANTEVY;401018;VERSPIEREN - SP SANTE;3;108,36;75,85;32,51;0
SANTEVY;401026;GRAS SAVOYE - SP SANTE;17;3642,84;1141,07;2279,14;222,63
SANTEVY;401059;CGRM SOINS - SP SANTE;5;172,76;120,92;51,84;0
SANTEVY;401331;GENERATION - SP SANTE;1;43,38;30,36;13,02;0
SANTEVY;401398;MERCER - SP SANTE;15;2382,12;869,55;1512,57;0
SANTEVY;401737;PLANSANTE - SP SANTE;1;23;16,1;6,9;0
SANTEVY;402164;UGIPS GESTION - SP SANTE;0;0;0;0;0
SANTEVY;402511;SOGAREP - SP SANTE;1;123,63;86,54;37,09;0
SANTEVY;402701;DYNALIS - SP SANTE;4;168,74;118,11;50,63;0
SANTEVY;402958;COLLECTEAM ;4;1025,91;305,18;658,36;62,37
SANTEVY;733931;ISANTE;42;7206,65;2413,25;3970,69;822,71
SANTEVY;10490001;KLESIA SA - SP SANTE;1;43,38;30,36;13,02;0
SANTEVY;22222228;ACS CONTRAT B - MEDIUM;4;152,76;106,92;45,84;0
SANTEVY;27000000;MGEN RC VITALE;4;296,5;207,56;88,94;0
SANTEVY;33333337;ACS CONTRAT C - PREMIUM;3;69;48,3;20,7;0
SANTEVY;431282581;MUTUELLE PERSONNEL SECU;9;4432,93;895,46;3353,48;183,99
SANTEVY;44222467S;HARMONIE MUTUELLE;5;277,3;194,09;83,21;0
SANTEVY;479834012;HARMONIE MUT KALIVIA;31;13556,6;2835,91;9385,89;1334,8
SANTEVY;75809145;KORELIO;72;4418,94;3093,1;1325,84;0
SANTEVY;75946061;MCVPAP RO RC;1;23;16,1;6,9;0
SANTEVY;75949776;HENNER GMC -CARTE BLANCHE;34;7603,37;2092,61;4562,76;948
SANTEVY;75990010;VIAMEDIS;33;3834,24;1506,31;1298,55;1029,38
SANTEVY;775685340;MUTUELLE GENERALE -VIA CB;6;6221,89;2180,3;4000,72;40,87
SANTEVY;88888888;CMU AUTRES;9;1023,06;484,59;538,47;0
SANTEVY;93800019;APGIS - SP SANTE;9;862,57;610,29;252,28;0
SANTEVY;95890000;KLESIA PREV - SP SANTE;3;161,73;113,22;48,51;0
SANTEVY;98532001;ALMERYS;198;38837,12;12241,38;22626,38;3969,36
SANTEVY;98532203;swiss life;1;23;16,1;6,9;0
SANTEVY;99999997;CMU CPAM;228;66539,82;22868,35;43381,47;290
