"Symbol","Name","Sector"
"A","Agilent Technologies","Health Care"
"AAL","American Airlines Gp","Industrials"
"AAP","Advance Auto Parts Inc","Consumer Discretionary"
"AAPL","Apple Inc","Information Technology"
"ABBV","Abbvie Inc","Health Care"
"ABC","Amerisourcebergen Corp","Health Care"
"ABMD","Abiomed Inc","None"
"ABT","Abbott Laboratories","Health Care"
"ACN","Accenture Plc","Information Technology"
"ADBE","Adobe Systems Inc","Information Technology"
"ADI","Analog Devices","Information Technology"
"ADM","Archer Daniels Midland","Consumer Staples"
"ADP","Automatic Data Procs","Information Technology"
"ADS","Alliance Data Systems Corp","Information Technology"
"ADSK","Autodesk Inc","Information Technology"
"AEE","Ameren Corp","Utilities"
"AEP","American Electric Power Company","Utilities"
"AES","The Aes Corp","Utilities"
"AFL","Aflac Incorporated","Financials"
"AGN","Allergan Plc","Health Care"
"AIG","American International Group","Financials"
"AIV","Apartment Investment and Management","Real Estate"
"AIZ","Assurant Inc","Financials"
"AJG","Arthur J. Gallagher & CO","Financials"
"AKAM","Akamai Technologies","Information Technology"
"ALB","Albemarle Corp","Materials"
"ALGN","Align Technology","Health Care"
"ALK","Alaska Air Group","Industrials"
"ALL","Allstate Corp","Financials"
"ALLE","Allegion Plc","Industrials"
"ALXN","Alexion Pharm Inc","Health Care"
"AMAT","Applied Materials","Information Technology"
"AMCR","Amcor Plc","None"
"AMD","Adv Micro Devices","Information Technology"
"AME","Amtek Inc","Industrials"
"AMG","Affiliated Managers Group","Financials"
"AMGN","Amgen Inc","Health Care"
"AMP","Ameriprise Financial Services","Financials"
"AMT","American Tower Corp","Real Estate"
"AMZN","Amazon.com Inc","Consumer Discretionary"
"ANET","Arista Networks Inc","None"
"ANSS","Ansys Inc","Information Technology"
"ANTM","Anthem Inc","Health Care"
"AON","AON Plc","Financials"
"AOS","Smith [A.O.] Corp","Industrials"
"APA","Apache Corp","Energy"
"APD","Air Products and Chemicals","Materials"
"APH","Amphenol Corp","Information Technology"
"APTV","Aptiv Plc","Consumer Discretionary"
"ARE","Alexandria Real Estate Equities","Real Estate"
"ARNC","Arconic Inc","Industrials"
"ATO","Atmos Energy Corp","None"
"ATVI","Activision Blizzard","Information Technology"
"AVB","Avalonbay Communities","Real Estate"
"AVGO","Broadcom Ltd","Information Technology"
"AVY","Avery Dennison Corp","Materials"
"AWK","American Water Works","Utilities"
"AXP","American Express Company","Financials"
"AZO","Autozone","Consumer Discretionary"
"BA","Boeing Company","Industrials"
"BAC","Bank of America Corp","Financials"
"BAX","Baxter International Inc","Health Care"
"BBT","BB&T Corp","Financials"
"BBY","Best Buy CO","Consumer Discretionary"
"BDX","Becton Dickinson and Company","Health Care"
"BEN","Franklin Resources","Financials"
"BF.B","Brown Forman Inc Cl B","Consumer Staples"
"BHGE","Baker Hughes A Ge Co. Cl A","Energy"
"BIIB","Biogen Inc","Health Care"
"BK","Bank of New York Mellon Corp","Financials"
"BKNG","Booking Holdings Inc","Consumer Discretionary"
"BLK","Blackrock","Financials"
"BLL","Ball Corp","Materials"
"BMY","Bristol-Myers Squibb Company","Health Care"
"BR","Broadridge Financial Solutions Llc","None"
"BRK.B","Berkshire Hathaway Cl B","Financials"
"BSX","Boston Scientific Corp","Health Care"
"BWA","Borgwarner Inc","Consumer Discretionary"
"BXP","Boston Properties","Real Estate"
"C","Citigroup Inc","Financials"
