Lindex,I
2018-01-02 21:00:00,5 days 04:30:00
2018-01-08 01:30:00,7 days 09:00:00
2018-01-15 10:30:00,2 days 08:15:00
2018-01-17 18:45:00,11 days 09:30:00
2018-01-29 04:15:00,3 days 02:45:00
2018-02-01 07:00:00,5 days 09:45:00
2018-02-06 16:45:00,1 days 13:15:00
2018-02-08 06:00:00,1 days 11:30:00
2018-02-09 17:30:00,6 days 09:15:00
2018-02-16 02:45:00,2 days 23:15:00
2018-02-19 02:00:00,2 days 20:45:00
2018-02-21 22:45:00,4 days 11:15:00
2018-02-26 10:00:00,0 days 16:30:00
2018-02-27 02:30:00,0 days 21:00:00
2018-02-27 23:30:00,2 days 07:30:00
2018-03-02 07:00:00,4 days 16:00:00
2018-03-06 23:00:00,7 days 03:30:00
2018-03-14 02:30:00,0 days 21:30:00
2018-03-15 00:00:00,1 days 15:15:00
2018-03-16 15:15:00,4 days 05:00:00
2018-03-20 20:15:00,12 days 12:00:00
2018-04-02 08:15:00,1 days 05:45:00
2018-04-03 14:00:00,2 days 01:00:00
2018-04-05 15:00:00,3 days 09:00:00
2018-04-09 00:00:00,3 days 00:15:00
2018-04-12 00:15:00,0 days 12:15:00
2018-04-12 12:30:00,4 days 18:00:00
2018-04-17 06:30:00,1 days 20:45:00
2018-04-19 03:15:00,8 days 04:15:00
2018-04-27 07:30:00,3 days 09:30:00
2018-04-30 17:00:00,1 days 14:30:00
2018-05-02 07:30:00,6 days 18:00:00
2018-05-09 01:30:00,1 days 13:30:00
2018-05-10 15:00:00,3 days 17:00:00
2018-05-14 08:00:00,2 days 07:30:00
2018-05-16 15:30:00,5 days 16:45:00
2018-05-22 08:15:00,2 days 09:15:00
2018-05-24 17:30:00,0 days 15:30:00
2018-05-25 09:00:00,2 days 16:15:00
2018-05-28 01:15:00,1 days 11:30:00
2018-05-29 12:45:00,0 days 14:00:00
2018-05-30 02:45:00,1 days 05:30:00
2018-05-31 08:15:00,11 days 05:30:00
2018-06-11 13:45:00,6 days 11:15:00
2018-06-18 01:00:00,2 days 15:15:00
2018-06-20 16:15:00,5 days 10:45:00
2018-06-26 03:00:00,1 days 16:15:00
2018-06-27 19:15:00,4 days 18:30:00
2018-07-02 13:45:00,6 days 22:00:00
2018-07-09 11:45:00,17 days 21:15:00
2018-07-27 09:00:00,6 days 04:15:00
2018-08-02 13:15:00,5 days 15:00:00
2018-08-08 04:15:00,0 days 22:45:00
2018-08-09 03:00:00,4 days 10:45:00
2018-08-13 13:45:00,1 days 13:45:00
2018-08-15 03:30:00,8 days 00:00:00
2018-08-23 03:30:00,13 days 16:30:00
2018-09-05 20:00:00,8 days 12:00:00
2018-09-14 08:00:00,4 days 09:00:00
2018-09-18 17:00:00,5 days 13:15:00
2018-09-24 06:15:00,3 days 18:45:00
2018-09-28 01:00:00,12 days 06:45:00
2018-10-10 07:45:00,2 days 06:15:00
2018-10-12 14:00:00,5 days 18:30:00
2018-10-18 08:30:00,13 days 09:15:00
2018-10-31 17:45:00,6 days 13:15:00
2018-11-07 07:00:00,0 days 02:45:00
2018-11-07 09:45:00,5 days 11:30:00
2018-11-12 21:15:00,0 days 21:45:00
2018-11-13 19:00:00,1 days 15:15:00
2018-11-15 10:15:00,0 days 11:15:00
2018-11-15 21:30:00,7 days 06:45:00
2018-11-23 04:15:00,4 days 12:15:00
2018-11-27 16:30:00,2 days 10:30:00
2018-11-30 03:00:00,0 days 15:30:00
2018-11-30 18:30:00,2 days 17:00:00
2018-12-03 11:30:00,1 days 05:45:00
2018-12-04 17:15:00,5 days 08:45:00
2018-12-10 02:00:00,1 days 09:45:00
2018-12-11 11:45:00,8 days 03:30:00
2018-12-19 15:15:00,0 days 19:00:00
2018-12-20 10:15:00,0 days 20:45:00
2018-12-21 07:00:00,0 days 12:00:00
2018-12-21 19:00:00,4 days 21:00:00
2018-12-26 16:00:00,6 days 14:15:00
2019-01-02 06:15:00,1 days 06:00:00
2019-01-03 12:15:00,1 days 02:30:00
2019-01-04 14:45:00,3 days 13:15:00
2019-01-08 04:00:00,7 days 11:00:00
2019-01-15 15:00:00,6 days 23:00:00
2019-01-22 14:00:00,1 days 03:30:00
2019-01-23 17:30:00,0 days 21:30:00
2019-01-24 15:00:00,0 days 02:45:00
2019-01-24 17:45:00,3 days 14:45:00
2019-01-28 08:30:00,13 days 22:00:00
2019-02-11 06:30:00,3 days 11:45:00
2019-02-14 18:15:00,5 days 17:30:00
2019-02-20 11:45:00,6 days 08:00:00
2019-02-26 19:45:00,6 days 01:15:00
2019-03-04 21:00:00,6 days 03:45:00
2019-03-11 00:45:00,2 days 03:00:00
2019-03-13 03:45:00,2 days 09:15:00
2019-03-15 13:00:00,4 days 12:15:00
2019-03-20 01:15:00,0 days 17:45:00
2019-03-20 19:00:00,1 days 20:00:00
2019-03-22 15:00:00,3 days 19:45:00
2019-03-26 10:45:00,0 days 23:00:00
2019-03-27 09:45:00,15 days 23:30:00
2019-04-12 09:15:00,13 days 02:45:00
2019-04-25 12:00:00,4 days 18:15:00
2019-04-30 06:15:00,13 days 06:45:00
2019-05-13 13:00:00,20 days 17:45:00
2019-06-03 06:45:00,2 days 09:45:00
2019-06-05 16:30:00,1 days 22:30:00
2019-06-07 15:00:00,4 days 13:00:00
2019-06-12 04:00:00,5 days 22:30:00
2019-06-18 02:30:00,0 days 06:45:00
2019-06-18 09:15:00,1 days 19:45:00
2019-06-20 05:00:00,15 days 09:30:00
2019-07-05 14:30:00,26 days 10:15:00
2019-08-01 00:45:00,4 days 22:30:00
2019-08-05 23:15:00,0 days 14:00:00
2019-08-06 13:15:00,1 days 00:45:00
2019-08-07 14:00:00,2 days 02:15:00
2019-08-09 16:15:00,2 days 15:30:00
2019-08-12 07:45:00,10 days 00:30:00
2019-08-22 08:15:00,1 days 07:00:00
2019-08-23 15:15:00,10 days 10:45:00
2019-09-03 02:00:00,9 days 10:45:00
2019-09-12 12:45:00,5 days 04:45:00
2019-09-17 17:30:00,12 days 19:00:00
2019-09-30 12:30:00,2 days 21:45:00
2019-10-03 10:15:00,5 days 05:30:00
2019-10-08 15:45:00,2 days 19:30:00
2019-10-11 11:15:00,4 days 02:45:00
2019-10-15 14:00:00,2 days 16:45:00
2019-10-18 06:45:00,11 days 02:15:00
2019-10-29 09:00:00,3 days 06:45:00
2019-11-01 15:45:00,12 days 13:30:00
2019-11-14 05:15:00,33 days 05:30:00
2019-12-17 10:45:00,9 days 00:15:00
2019-12-26 11:00:00,5 days 02:00:00
2019-12-31 13:00:00,2 days 21:45:00
2020-01-03 10:45:00,11 days 21:30:00
2020-01-15 08:15:00,8 days 12:00:00
2020-01-23 20:15:00,20 days 12:45:00
2020-02-13 09:00:00,17 days 21:00:00
2020-03-02 06:00:00,7 days 03:30:00
2020-03-09 09:30:00,2 days 16:15:00
2020-03-12 01:45:00,0 days 14:30:00
2020-03-12 16:15:00,5 days 13:30:00
2020-03-18 05:45:00,13 days 14:45:00
2020-03-31 20:30:00,2 days 11:15:00
2020-04-03 07:45:00,4 days 05:00:00
2020-04-07 12:45:00,1 days 07:30:00
2020-04-08 20:15:00,5 days 01:00:00
2020-04-13 21:15:00,0 days 15:30:00
2020-04-14 12:45:00,1 days 00:15:00
2020-04-15 13:00:00,7 days 16:15:00
2020-04-23 05:15:00,1 days 11:15:00
2020-04-24 16:30:00,10 days 08:30:00
2020-05-05 01:00:00,1 days 19:15:00
2020-05-06 20:15:00,1 days 12:00:00
2020-05-08 08:15:00,5 days 03:45:00
2020-05-13 12:00:00,5 days 15:15:00
2020-05-19 03:15:00,2 days 02:30:00
2020-05-21 05:45:00,4 days 08:15:00
2020-05-25 14:00:00,1 days 12:45:00
2020-05-27 02:45:00,1 days 01:45:00
2020-05-28 04:30:00,1 days 05:00:00
2020-05-29 09:30:00,3 days 00:45:00
2020-06-01 10:15:00,2 days 01:15:00
2020-06-03 11:30:00,7 days 07:15:00
2020-06-10 18:45:00,1 days 23:00:00
2020-06-12 17:45:00,5 days 10:00:00
2020-06-18 03:45:00,0 days 13:15:00
2020-06-18 17:00:00,0 days 19:45:00
2020-06-19 12:45:00,3 days 12:45:00
2020-06-23 01:30:00,0 days 11:15:00
2020-06-23 12:45:00,1 days 16:45:00
2020-06-25 05:30:00,11 days 19:15:00
2020-07-07 00:45:00,0 days 19:30:00
2020-07-07 20:15:00,1 days 07:30:00
2020-07-09 03:45:00,6 days 04:45:00
2020-07-15 08:30:00,1 days 09:00:00
2020-07-16 17:30:00,4 days 11:15:00
2020-07-21 04:45:00,3 days 06:30:00
2020-07-24 11:15:00,5 days 19:15:00
2020-07-30 06:30:00,7 days 23:30:00
2020-08-07 06:00:00,4 days 04:15:00
2020-08-11 10:15:00,1 days 18:45:00
2020-08-13 05:00:00,5 days 08:15:00
2020-08-18 13:15:00,2 days 23:00:00
2020-08-21 12:15:00,2 days 21:30:00
2020-08-24 09:45:00,9 days 19:30:00
2020-09-03 05:15:00,0 days 19:45:00
2020-09-04 01:00:00,0 days 13:00:00
2020-09-04 14:00:00,6 days 05:15:00
2020-09-10 19:15:00,5 days 13:00:00
2020-09-16 08:15:00,5 days 09:30:00
2020-09-21 17:45:00,8 days 05:30:00
2020-09-29 23:15:00,6 days 13:00:00
2020-10-06 12:15:00,0 days 09:00:00
2020-10-06 21:15:00,12 days 04:45:00
2020-10-19 02:00:00,3 days 04:30:00
2020-10-22 06:30:00,4 days 23:15:00
2020-10-27 05:45:00,1 days 00:45:00
2020-10-28 06:30:00,5 days 08:15:00
2020-11-02 14:45:00,1 days 03:45:00
2020-11-03 18:30:00,2 days 05:00:00
2020-11-05 23:30:00,7 days 12:45:00
2020-11-13 12:15:00,3 days 23:15:00
2020-11-17 11:30:00,8 days 00:00:00
2020-11-25 11:30:00,1 days 01:00:00
2020-11-26 12:30:00,4 days 07:30:00
2020-11-30 20:00:00,2 days 16:45:00
2020-12-03 12:45:00,3 days 20:15:00
2020-12-07 09:00:00,14 days 01:45:00
2020-12-21 10:45:00,2 days 02:30:00
2020-12-23 13:15:00,
