,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
0,MMM,3M Company,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2014.16,22.45,3609.32,-1595.16,8.0,4.0,66.67,-644.46,-7.18,451.0,-399.0,17 days 00:00:00.000000000,12,75.0,25.0,2.26
1,AOS,A.O. Smith Corp,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,5115.98,84.19,5634.07,-518.09,18.0,8.0,69.23,-1161.5,-19.11,313.0,-65.0,6 days 11:04:36.923076923,26,57.69,42.31,10.87
2,ABT,Abbott Laboratories,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1527.56,17.99,1861.16,-333.6,2.0,1.0,66.67,-301.2,-3.55,931.0,-334.0,11 days 16:00:00.000000000,3,100.0,0.0,5.58
3,ABBV,AbbVie Inc.,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,147.16,1.38,2106.6,-1959.44,5.0,5.0,50.0,-473.82,-4.46,421.0,-392.0,21 days 00:00:00.000000000,10,80.0,20.0,1.08
4,ACN,Accenture plc,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3202.05,33.93,4052.37,-850.32,19.0,5.0,79.17,-372.84,-3.95,213.0,-170.0,5 days 15:00:00.000000000,24,54.17,45.83,4.77
5,ATVI,Activision Blizzard,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,11746.4,95.88,12949.7,-1203.3,30.0,8.0,78.95,-1147.56,-9.37,432.0,-150.0,3 days 18:18:56.842105263,38,52.63,47.37,10.76
6,AYI,Acuity Brands Inc,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1859.0,31.17,2222.07,-363.07,10.0,4.0,71.43,-565.8,-9.49,222.0,-91.0,14 days 17:08:34.285714285,14,64.29,35.71,6.12
7,ADBE,Adobe Systems Inc,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4072.63,41.37,5339.96,-1267.33,15.0,3.0,83.33,-314.3,-3.19,356.0,-422.0,6 days 12:00:00.000000000,18,83.33,16.67,4.21
8,AAP,Advance Auto Parts,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1147.6,10.36,1147.6,0.0,1.0,0.0001,99.99,-1176.45,-10.62,1148.0,0.0,0 days 00:00:00.000000000,1,0.0,100.0,inf
9,AMD,Advanced Micro Devices Inc,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3865.78,118.54,4602.16,-736.38,26.0,7.0,78.79,-447.1,-13.71,177.0,-105.0,5 days 15:16:21.818181818,33,42.42,57.58,6.25
