Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"October 28, 2019"
Statement,Data,WhenGenerated,"2019-10-29, 10:23:52 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,CSS Alpha Fund Ltd
Account Information,Data,Account,DU1507428
Account Information,Data,Master Name,CSS Alpha Fund Ltd
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,474757.437807308,558576.105984271,0,558576.105984271,83818.668176963
Net Asset Value,Data,Stock,28022.13,1032973.16,-1088135.27,-55162.11,-83184.24
Net Asset Value,Data,Interest Accruals,-573.41,353.38,-954.71,-601.33,-27.92
Net Asset Value,Data,Total,502206.157807308,1591902.645984271,-1089089.98,502812.665984271,606.508176963
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.120768765%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,502206.157807308
Change in NAV,Data,Mark-to-Market,670.87
Change in NAV,Data,Change in Interest Accruals,-27.92
Change in NAV,Data,Commissions,-36.441823037
Change in NAV,Data,Ending Value,502812.665984271
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,A,134,0,75.3900,76.1500,101.84,-57.62,-1.225978136,0,42.994021864,
Mark-to-Market Performance Summary,Data,Stocks,ABC,-123,-123,86.8000,87.3900,-72.57,0,0,0,-72.57,
Mark-to-Market Performance Summary,Data,Stocks,ACN,52,52,183.0700,182.8700,-10.4,0,0,0,-10.4,
Mark-to-Market Performance Summary,Data,Stocks,ADBE,4,4,270.9800,271.3500,1.48,0,0,0,1.48,
Mark-to-Market Performance Summary,Data,Stocks,ADI,91,91,106.8300,108.8300,182,0,0,0,182,
Mark-to-Market Performance Summary,Data,Stocks,ADP,0,-62,--,162.4800,0,-21.7,-1.215455642,0,-22.915455642,
Mark-to-Market Performance Summary,Data,Stocks,ADSK,69,69,145.5400,146.9900,100.05,0,0,0,100.05,
Mark-to-Market Performance Summary,Data,Stocks,AEP,107,107,94.3500,93.3700,-104.86,0,0,0,-104.86,
Mark-to-Market Performance Summary,Data,Stocks,AES,-633,-633,16.8000,16.9800,-113.94,0,0,0,-113.94,
Mark-to-Market Performance Summary,Data,Stocks,AFL,-196,-196,53.2600,53.5100,-49,0,0,0,-49,
Mark-to-Market Performance Summary,Data,Stocks,AIG,-189,0,52.8000,52.5500,47.25,-68.04,-1,0,-21.79,
Mark-to-Market Performance Summary,Data,Stocks,AIV,-24,-24,54.2900,54.0300,6.24,0,0,0,6.24,
Mark-to-Market Performance Summary,Data,Stocks,AIZ,-80,-80,125.5700,125.3100,20.8,0,0,0,20.8,
Mark-to-Market Performance Summary,Data,Stocks,ALB,147,147,63.5900,63.7400,22.05,0,0,0,22.05,
Mark-to-Market Performance Summary,Data,Stocks,ALGN,54,54,243.3800,250.4200,380.16,0,0,0,380.16,
Mark-to-Market Performance Summary,Data,Stocks,ALK,-150,-150,71.5700,70.0800,223.5,0,0,0,223.5,
Mark-to-Market Performance Summary,Data,Stocks,ALLE,-97,-97,113.3300,115.3200,-193.03,0,0,0,-193.03,
Mark-to-Market Performance Summary,Data,Stocks,AMP,-76,-76,149.4500,152.8100,-255.36,0,0,0,-255.36,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,1,1,"1,761.3300","1,777.0800",15.75,0,0,0,15.75,
Mark-to-Market Performance Summary,Data,Stocks,ANET,-42,-42,244.3600,248.9000,-190.68,0,0,0,-190.68,
Mark-to-Market Performance Summary,Data,Stocks,ANTM,-5,-5,263.0700,267.6700,-23,0,0,0,-23,
Mark-to-Market Performance Summary,Data,Stocks,AOS,200,200,51.0700,51.3500,56,0,0,0,56,
Mark-to-Market Performance Summary,Data,Stocks,APH,-104,-104,100.2300,101.1900,-99.84,0,0,0,-99.84,
Mark-to-Market Performance Summary,Data,Stocks,APTV,111,111,89.5800,90.1100,58.83,0,0,0,58.83,
Mark-to-Market Performance Summary,Data,Stocks,ARNC,360,0,27.6400,27.6600,7.2,-3.6,-2.0488878,0,1.5511122,
Mark-to-Market Performance Summary,Data,Stocks,AVB,-47,-47,219.4100,216.9900,113.74,0,0,0,113.74,
Mark-to-Market Performance Summary,Data,Stocks,AVGO,35,0,289.8200,291.5500,60.55,-40.25,-1.2145598,0,19.0854402,
Mark-to-Market Performance Summary,Data,Stocks,AVY,-89,-89,126.8000,127.4900,-61.41,0,0,0,-61.41,
Mark-to-Market Performance Summary,Data,Stocks,AXP,84,84,118.2600,118.5800,26.88,0,0,0,26.88,
Mark-to-Market Performance Summary,Data,Stocks,BBY,0,-137,--,74.3700,0,22.92,-1.227683327,0,21.692316673,
Mark-to-Market Performance Summary,Data,Stocks,BDX,40,40,244.3000,246.0800,71.2,0,0,0,71.2,
Mark-to-Market Performance Summary,Data,Stocks,BEN,370,370,27.8300,28.4100,214.6,0,0,0,214.6,
Mark-to-Market Performance Summary,Data,Stocks,BIIB,42,42,288.0400,295.5400,315,0,0,0,315,
Mark-to-Market Performance Summary,Data,Stocks,BK,216,216,46.3800,46.8900,110.16,0,0,0,110.16,
Mark-to-Market Performance Summary,Data,Stocks,BLK,-22,-22,459.8000,466.5600,-148.72,0,0,0,-148.72,
Mark-to-Market Performance Summary,Data,Stocks,BSX,-260,-260,40.8500,41.5700,-187.2,0,0,0,-187.2,
Mark-to-Market Performance Summary,Data,Stocks,BWA,-252,-252,39.7200,40.4100,-173.88,0,0,0,-173.88,
Mark-to-Market Performance Summary,Data,Stocks,C,-147,-147,73.1700,73.5900,-61.74,0,0,0,-61.74,
Mark-to-Market Performance Summary,Data,Stocks,CAH,-202,-202,50.0500,50.2800,-46.46,0,0,0,-46.46,
Mark-to-Market Performance Summary,Data,Stocks,CDNS,156,156,65.1000,65.8800,121.68,0,0,0,121.68,
Mark-to-Market Performance Summary,Data,Stocks,CERN,-147,-147,66.4300,67.0000,-83.79,0,0,0,-83.79,
Mark-to-Market Performance Summary,Data,Stocks,CFG,-279,-279,35.8500,36.1700,-89.28,0,0,0,-89.28,
Mark-to-Market Performance Summary,Data,Stocks,CHD,137,0,74.8900,74.6000,-39.73,38.72,-1.228662644,0,-2.238662644,
Mark-to-Market Performance Summary,Data,Stocks,CHRW,120,0,90.1100,90.3300,26.4,81.6,-1.24034884,0,106.75965116,
Mark-to-Market Performance Summary,Data,Stocks,CHTR,-23,-23,462.1900,467.0900,-112.7,0,0,0,-112.7,
Mark-to-Market Performance Summary,Data,Stocks,CI,-61,-61,171.4900,174.7900,-201.3,0,0,0,-201.3,
Mark-to-Market Performance Summary,Data,Stocks,CINF,88,88,111.6500,110.7300,-80.96,0,0,0,-80.96,
Mark-to-Market Performance Summary,Data,Stocks,CL,142,142,68.4100,67.3500,-150.52,0,0,0,-150.52,
Mark-to-Market Performance Summary,Data,Stocks,CNC,209,0,48.2300,48.6000,77.33,-67.88,-1.278724064,0,8.171275936,
Mark-to-Market Performance Summary,Data,Stocks,COF,111,111,93.2500,95.1700,213.12,0,0,0,213.12,
Mark-to-Market Performance Summary,Data,Stocks,COG,0,-533,--,18.1100,0,351.78,-2.935518287,0,348.844481713,
Mark-to-Market Performance Summary,Data,Stocks,COO,4,4,281.7500,284.0200,9.08,0,0,0,9.08,
Mark-to-Market Performance Summary,Data,Stocks,CPB,-209,0,46.4600,46.5600,-20.9,22.99,-1.045,0,1.045,
Mark-to-Market Performance Summary,Data,Stocks,CRM,66,66,150.4900,154.7900,283.8,0,0,0,283.8,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,-216,-216,46.9000,47.1700,-58.32,0,0,0,-58.32,
Mark-to-Market Performance Summary,Data,Stocks,CTSH,163,163,60.4600,60.6700,34.23,0,0,0,34.23,
Mark-to-Market Performance Summary,Data,Stocks,CVS,-151,-151,65.1000,65.8800,-117.78,0,0,0,-117.78,
Mark-to-Market Performance Summary,Data,Stocks,CVX,88,88,118.6700,118.4800,-16.72,0,0,0,-16.72,
Mark-to-Market Performance Summary,Data,Stocks,CXO,140,140,65.8200,65.0000,-114.8,0,0,0,-114.8,
Mark-to-Market Performance Summary,Data,Stocks,D,-128,-128,81.8900,81.3300,71.68,0,0,0,71.68,
Mark-to-Market Performance Summary,Data,Stocks,DD,150,150,66.8500,67.5900,111,0,0,0,111,
Mark-to-Market Performance Summary,Data,Stocks,DE,-62,-62,173.1100,173.3500,-14.88,0,0,0,-14.88,
Mark-to-Market Performance Summary,Data,Stocks,DGX,97,97,100.6300,100.3900,-23.28,0,0,0,-23.28,
Mark-to-Market Performance Summary,Data,Stocks,DHI,-186,-186,53.7100,51.8200,351.54,0,0,0,351.54,
Mark-to-Market Performance Summary,Data,Stocks,DISCK,-401,-401,25.6000,25.7850,-74.19,0,0,0,-74.19,
Mark-to-Market Performance Summary,Data,Stocks,DISH,-288,-288,34.7600,34.9300,-48.96,0,0,0,-48.96,
Mark-to-Market Performance Summary,Data,Stocks,DLR,-75,-75,132.8200,132.2800,40.5,0,0,0,40.5,
Mark-to-Market Performance Summary,Data,Stocks,DOV,-100,-100,103.6500,104.2100,-56,0,0,0,-56,
Mark-to-Market Performance Summary,Data,Stocks,DRE,-295,-295,34.5600,35.2500,-203.55,0,0,0,-203.55,
Mark-to-Market Performance Summary,Data,Stocks,DVN,454,454,21.4700,21.0500,-190.68,0,0,0,-190.68,
Mark-to-Market Performance Summary,Data,Stocks,EBAY,-258,-258,35.8400,35.9400,-25.8,0,0,0,-25.8,
Mark-to-Market Performance Summary,Data,Stocks,ECL,52,52,191.9400,191.5900,-18.2,0,0,0,-18.2,
Mark-to-Market Performance Summary,Data,Stocks,ED,-108,-108,93.3200,91.0900,240.84,0,0,0,240.84,
Mark-to-Market Performance Summary,Data,Stocks,EIX,140,140,66.0500,64.5600,-208.6,0,0,0,-208.6,
Mark-to-Market Performance Summary,Data,Stocks,EMN,-137,-137,76.2800,78.1500,-256.19,0,0,0,-256.19,
Mark-to-Market Performance Summary,Data,Stocks,EOG,140,140,72.4800,71.0500,-200.2,0,0,0,-200.2,
Mark-to-Market Performance Summary,Data,Stocks,ESS,4,4,325.0900,323.3900,-6.8,0,0,0,-6.8,
Mark-to-Market Performance Summary,Data,Stocks,ETFC,244,244,41.0500,41.9100,209.84,0,0,0,209.84,
Mark-to-Market Performance Summary,Data,Stocks,ETN,118,118,85.6200,87.2200,188.8,0,0,0,188.8,
Mark-to-Market Performance Summary,Data,Stocks,EXR,-86,-86,112.2300,112.0700,13.76,0,0,0,13.76,
Mark-to-Market Performance Summary,Data,Stocks,FANG,115,0,87.4600,86.6000,-98.9,158.7,-1.22312139,0,58.57687861,
Mark-to-Market Performance Summary,Data,Stocks,FAST,321,321,37.1800,36.8300,-112.35,0,0,0,-112.35,
Mark-to-Market Performance Summary,Data,Stocks,FB,55,55,187.8900,189.4000,83.05,0,0,0,83.05,
Mark-to-Market Performance Summary,Data,Stocks,FBHS,164,164,60.3600,60.6700,50.84,0,0,0,50.84,
Mark-to-Market Performance Summary,Data,Stocks,FCX,1090,1090,10.1400,10.2400,109,0,0,0,109,
Mark-to-Market Performance Summary,Data,Stocks,FITB,378,378,29.0500,29.4400,147.42,0,0,0,147.42,
Mark-to-Market Performance Summary,Data,Stocks,FLS,225,225,48.6900,49.2200,119.25,0,0,0,119.25,
Mark-to-Market Performance Summary,Data,Stocks,FRC,-94,-94,107.6500,107.4200,21.62,0,0,0,21.62,
Mark-to-Market Performance Summary,Data,Stocks,FTI,-484,-484,21.3600,20.9300,208.12,0,0,0,208.12,
Mark-to-Market Performance Summary,Data,Stocks,GD,-57,-57,173.5400,174.9300,-79.23,0,0,0,-79.23,
Mark-to-Market Performance Summary,Data,Stocks,GM,279,279,36.7400,36.6400,-27.9,0,0,0,-27.9,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,-8,-8,"1,265.1300","1,290.0000",-198.96,0,0,0,-198.96,
Mark-to-Market Performance Summary,Data,Stocks,GOOGL,-8,-8,"1,264.3000","1,288.9800",-197.44,0,0,0,-197.44,
Mark-to-Market Performance Summary,Data,Stocks,GPC,96,96,102.5100,103.6600,110.4,0,0,0,110.4,
Mark-to-Market Performance Summary,Data,Stocks,GS,-48,-48,214.2300,217.7500,-168.96,0,0,0,-168.96,
Mark-to-Market Performance Summary,Data,Stocks,GWW,-33,-33,317.3400,316.3900,31.35,0,0,0,31.35,
Mark-to-Market Performance Summary,Data,Stocks,HAS,82,82,96.0100,96.6400,51.66,0,0,0,51.66,
Mark-to-Market Performance Summary,Data,Stocks,HBI,-689,-689,15.8900,16.0100,-82.68,0,0,0,-82.68,
Mark-to-Market Performance Summary,Data,Stocks,HCA,80,80,126.2700,126.8700,48,0,0,0,48,
Mark-to-Market Performance Summary,Data,Stocks,HCP,-280,0,36.3000,36.1500,42,-14,-1.4,0,26.6,
Mark-to-Market Performance Summary,Data,Stocks,HES,-152,-152,66.7800,66.5700,31.92,0,0,0,31.92,
Mark-to-Market Performance Summary,Data,Stocks,HFC,0,-175,--,58.2500,0,-115.5,-1.229444775,0,-116.729444775,
Mark-to-Market Performance Summary,Data,Stocks,HIG,170,170,56.8000,56.4600,-57.8,0,0,0,-57.8,
Mark-to-Market Performance Summary,Data,Stocks,HOLX,-210,-210,47.4900,47.8100,-67.2,0,0,0,-67.2,
Mark-to-Market Performance Summary,Data,Stocks,HPE,660,660,16.1600,16.4300,178.2,0,0,0,178.2,
Mark-to-Market Performance Summary,Data,Stocks,HPQ,584,584,17.3300,17.6300,175.2,0,0,0,175.2,
Mark-to-Market Performance Summary,Data,Stocks,HRB,-424,-424,25.1800,24.9300,106,0,0,0,106,
Mark-to-Market Performance Summary,Data,Stocks,HRL,245,0,40.5700,40.4900,-19.6,44.1,-1.460412905,0,23.039587095,
Mark-to-Market Performance Summary,Data,Stocks,HSIC,161,161,62.2500,62.1200,-20.93,0,0,0,-20.93,
Mark-to-Market Performance Summary,Data,Stocks,HST,591,591,16.6800,16.7000,11.82,0,0,0,11.82,
Mark-to-Market Performance Summary,Data,Stocks,IBM,70,70,135.4400,135.9700,37.1,0,0,0,37.1,
Mark-to-Market Performance Summary,Data,Stocks,IEX,7,7,158.7200,159.3600,4.48,0,0,0,4.48,
Mark-to-Market Performance Summary,Data,Stocks,IPG,488,488,21.8500,22.1700,156.16,0,0,0,156.16,
Mark-to-Market Performance Summary,Data,Stocks,IPGP,72,72,143.0700,143.8300,54.72,0,0,0,54.72,
Mark-to-Market Performance Summary,Data,Stocks,IR,85,85,121.0600,122.0800,86.7,0,0,0,86.7,
Mark-to-Market Performance Summary,Data,Stocks,IRM,304,304,34.0900,33.6600,-130.72,0,0,0,-130.72,
