;Urgence dentaire;Adulte - Consultation de suivi;Adulte - Première consultation ;Détartrage;Enfant - Première consultation dentaire ;Pose de prothèse dentaire (couronne);Enfant - Consultation de suivi ;Bilan bucco-dentaire;Extraction dentaire;Endodontie;Taille et empreinte;Parodontie;Adulte - 1ere consultation d'orthodontie (a été supprimé);Enfant - 1ere consultation d'orthodontie (a été supprimé);Pose d'implant dentaire;Adule Première consultation;Enfant Première consultation;Suivi du traitement  (a été supprimé);Non renseigné;Pose / Collage Long ;Empreinte;Empreinte alignement (Invisalign);Pose / Collage Court ;Suivi traitement
12/09/2018;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/09/2018;2;1;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/09/2018;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17/09/2018;2;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18/09/2018;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20/09/2018;3;1;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21/09/2018;5;1;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25/09/2018;2;0;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/09/2018;0;1;3;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27/09/2018;3;1;6;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28/09/2018;6;1;8;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/10/2018;4;1;5;4;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
03/10/2018;3;1;6;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/10/2018;1;2;15;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/10/2018;3;1;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/10/2018;3;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/10/2018;2;2;3;2;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10/10/2018;7;3;6;1;4;1;1;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
11/10/2018;2;0;7;2;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12/10/2018;0;1;6;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
15/10/2018;6;5;10;2;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
16/10/2018;1;0;8;2;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
17/10/2018;2;0;5;3;1;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18/10/2018;3;2;7;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19/10/2018;4;4;6;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/10/2018;9;2;9;3;1;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
23/10/2018;5;1;6;2;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
24/10/2018;1;3;4;3;3;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
25/10/2018;4;1;7;2;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
26/10/2018;3;0;5;3;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
29/10/2018;1;2;8;4;0;2;0;1;0;0;1;0;2;6;0;0;0;0;0;0;0;0;0;0
30/10/2018;0;0;4;1;1;3;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
31/10/2018;0;3;3;1;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
05/11/2018;2;0;2;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
06/11/2018;1;3;6;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/11/2018;9;2;17;2;0;5;0;1;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0
08/11/2018;1;2;7;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
