,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
0,MMM,3M Company,Industrials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,7153.66,78.3,7948.34,-794.68,31,8,79.49,-1239.42,-13.57,256.0,-99.0,4 days 11:41:32.307692307,39,61.54,38.46,10.0
1,AOS,A.O. Smith Corp,Industrials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,1371.48,21.75,2576.46,-1204.98,9,4,69.23,-483.39,-7.67,286.0,-301.0,17 days 07:23:04.615384615,13,46.15,53.85,2.14
2,ABT,Abbott Laboratories,Health Care,265 days 00:00:00.000000000,2018-11-07,2019-07-30,5780.14,67.12,6605.1,-824.96,27,7,79.41,-582.92,-6.77,245.0,-118.0,5 days 07:45:52.941176470,34,32.35,67.65,8.01
3,ABBV,AbbVie Inc.,Health Care,265 days 00:00:00.000000000,2018-11-07,2019-07-30,12897.63,114.3,13283.55,-385.92,43,3,93.48,-1499.87,-13.29,309.0,-129.0,3 days 21:23:28.695652173,46,34.78,65.22,34.42
4,ACN,Accenture plc,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,1380.49,14.41,2516.37,-1135.88,14,8,63.64,-1435.33,-14.98,180.0,-142.0,6 days 08:43:38.181818181,22,27.27,72.73,2.22
5,ATVI,Activision Blizzard,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,9233.4,81.42,10304.37,-1070.97,17,5,77.27,-3044.8,-26.85,606.0,-214.0,5 days 02:10:54.545454545,22,40.91,59.09,9.62
6,AYI,Acuity Brands Inc,Industrials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,3908.62,62.37,5747.16,-1838.54,34,9,79.07,-429.24,-6.85,169.0,-204.0,3 days 15:37:40.465116279,43,60.47,39.53,3.13
7,ADBE,Adobe Systems Inc,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,3541.0,37.6,6449.88,-2908.88,25,11,69.44,-1277.25,-13.56,258.0,-264.0,5 days 03:20:00.000000000,36,44.44,55.56,2.22
8,AAP,Advance Auto Parts,Consumer Discretionary,265 days 00:00:00.000000000,2018-11-07,2019-07-30,13872.84,113.7,14919.1,-1046.26,43,2,95.56,-620.64,-5.09,347.0,-523.0,3 days 11:12:00.000000000,45,48.89,51.11,14.26
9,AMD,Advanced Micro Devices Inc,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,2070.69,64.64,2957.81,-887.12,14,9,60.87,-548.0,-17.11,211.0,-99.0,8 days 15:39:07.826086956,23,69.57,30.43,3.33
10,AES,AES Corp,Utilities,265 days 00:00:00.000000000,2018-11-07,2019-07-30,4178.87,41.22,5156.71,-977.84,16,7,69.57,-982.52,-9.69,322.0,-140.0,8 days 12:31:18.260869565,23,65.22,34.78,5.27
11,AMG,Affiliated Managers Group Inc,Financials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,3857.11,63.58,4754.64,-897.53,21,7,75.0,-845.64,-13.94,226.0,-128.0,6 days 16:17:08.571428571,28,25.0,75.0,5.3
12,AFL,AFLAC Inc,Financials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,2902.3,19.02,4359.79,-1457.49,14,10,58.33,-422.29,-2.77,311.0,-146.0,7 days 04:00:00.000000000,24,45.83,54.17,2.99
13,A,Agilent Technologies Inc,Health Care,265 days 00:00:00.000000000,2018-11-07,2019-07-30,6295.98,87.71,6924.16,-628.18,27,8,77.14,-654.0,-9.11,256.0,-79.0,5 days 00:41:08.571428571,35,48.57,51.43,11.02
14,APD,Air Products & Chemicals Inc,Materials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,4874.57,41.86,5847.96,-973.39,23,8,74.19,-325.18,-2.79,254.0,-122.0,5 days 05:25:09.677419354,31,41.94,58.06,6.01
15,ALK,Alaska Air Group Inc,Industrials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,9569.53,81.71,11387.92,-1818.39,25,12,67.57,-1876.2,-16.02,456.0,-152.0,4 days 21:24:19.459459459,37,45.95,54.05,6.26
16,ALB,Albemarle Corp,Materials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,5013.96,76.36,5695.29,-681.33,19,4,82.61,-372.96,-5.68,300.0,-170.0,9 days 04:10:26.086956521,23,43.48,56.52,8.36
17,ARE,Alexandria Real Estate Equities Inc,Real Estate,265 days 00:00:00.000000000,2018-11-07,2019-07-30,5805.71,45.74,6225.33,-419.62,19,6,76.0,-585.62,-4.61,328.0,-70.0,7 days 03:50:24.000000000,25,36.0,64.0,14.84
18,ALXN,Alexion Pharmaceuticals,Health Care,265 days 00:00:00.000000000,2018-11-07,2019-07-30,9144.43,149.36,9770.51,-626.08,41,10,80.39,-499.8,-8.16,238.0,-63.0,3 days 12:42:21.176470588,51,41.18,58.82,15.61
19,ALGN,Align Technology,Health Care,265 days 00:00:00.000000000,2018-11-07,2019-07-30,1412.94,26.97,4376.44,-2963.5,8,9,47.06,-1599.3,-30.52,547.0,-329.0,11 days 21:10:35.294117647,17,41.18,58.82,1.48
20,ALLE,Allegion,Industrials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,4346.19,48.97,5808.15,-1461.96,23,8,74.19,-845.63,-9.53,253.0,-183.0,6 days 03:52:15.483870967,31,58.06,41.94,3.97
21,AGN,"Allergan, Plc",Health Care,265 days 00:00:00.000000000,2018-11-07,2019-07-30,5881.45,99.33,6343.91,-462.46,18,4,81.82,-532.18,-8.99,352.0,-116.0,6 days 17:27:16.363636363,22,77.27,22.73,13.72
22,ADS,Alliance Data Systems,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,3335.24,56.02,4441.07,-1105.83,20,8,71.43,-361.76,-6.08,222.0,-138.0,5 days 19:42:51.428571428,28,75.0,25.0,4.02
