,Row,HadSurgery,Age,HospitalNumber,RectalTemp,Pulse,RespiratoryRate,ExtremityTemp,PeripheralPulse,MucousMemb,CapillaryRefillTime,PainAlertSign,Peristalsis,AbdominalTension,NasogastricTube,NasogastricReflux,NasoGastRefPh,RectalExamination,Abdomen,PackedCellValue,TotalProtein,AbdominocentesisApparence,AbdomcentesisTotalProtein,Outcome,SurgicalLesion,SiteOfLesion,TypeOfLesion,SubTypeOfLesion,Cp_Data
0,0,2,1,530101,38.50,66,28,3,3,NaN,2,5,4,4,NaN,NaN,NaN,3,5,45.00,8.40,NaN,NaN,2,2,11300,0,0,2
1,1,1,1,534817,39.2,88,20,NaN,NaN,4,1,3,4,2,NaN,NaN,NaN,4,2,50,85,2,2,3,2,2208,0,0,2
2,2,2,1,530334,38.30,40,24,1,1,3,1,3,3,1,NaN,NaN,NaN,1,1,33.00,6.70,NaN,NaN,1,2,0,0,0,1
3,3,1,9,5290409,39.10,164,84,4,1,6,2,2,4,4,1,2,5.00,3,NaN,48.00,7.20,3,5.30,2,1,2208,0,0,1
4,4,2,1,530255,37.30,104,35,NaN,NaN,6,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.00,7.40,NaN,NaN,2,2,4300,0,0,2
5,5,2,1,528355,NaN,NaN,NaN,2,1,3,1,2,3,2,2,1,NaN,3,3,NaN,NaN,NaN,NaN,1,2,0,0,0,2
6,6,1,1,526802,37.90,48,16,1,1,1,1,3,3,3,1,1,NaN,3,5,37.00,7.00,NaN,NaN,1,1,3124,0,0,2
7,7,1,1,529607,NaN,60,NaN,3,NaN,NaN,1,NaN,4,2,2,1,NaN,3,4,44.00,8.30,NaN,NaN,2,1,2208,0,0,2
8,8,2,1,530051,NaN,80,36,3,4,3,1,4,4,4,2,1,NaN,3,5,38.00,6.20,NaN,NaN,3,1,3205,0,0,2
9,9,2,9,5299629,38.30,90,NaN,1,NaN,1,1,5,3,1,2,1,NaN,3,NaN,40.00,6.20,1,2.20,1,2,0,0,0,1
10,10,1,1,528548,38.10,66,12,3,3,5,1,3,3,1,2,1,3.00,2,5,44.00,6.00,2,3.60,1,1,2124,0,0,1
11,11,2,1,527927,39.10,72,52,2,NaN,2,1,2,1,2,1,1,NaN,4,4,50.00,7.80,NaN,NaN,1,1,2111,0,0,2
12,12,1,1,528031,37.20,42,12,2,1,1,1,3,3,3,3,1,NaN,4,5,NaN,7.00,NaN,NaN,1,2,4124,0,0,2
13,13,2,9,5291329,38.00,92,28,1,1,2,1,1,3,2,3,NaN,7.20,1,1,37.00,6.10,1,NaN,2,2,0,0,0,1
14,14,1,1,534917,38.2,76,28,3,1,1,1,3,4,1,2,2,NaN,4,4,46,81,1,2,1,1,2112,0,0,2
