TIERS_FACTURABLE;TIERS_ASSOCIE;CODE_TRANSMISSION;REGROUPEMENT
ADREA BOURGOGNE (RC 71010102);ADREA RÈGLEMENT (RC 311799878);;0
ADREA CENTRE AUVERGNE (RC 03001754);ADREA RÈGLEMENT (RC 311799878);;0
ADREA FRANCHE COMTE (RC 25002995);ADREA RÈGLEMENT (RC 311799878);;0
ADREA HAUTE NORMANDIE (RO 030314200);AME PARTIELLE (RC 75500017);;
ADREA HAUTE NORMANDIE (RO 030314200);MGEN ACCES SANTE (RC 27011000);;
ADREA HAUTE NORMANDIE (RO 030314200);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA HAUTE NORMANDIE (RO 030314200);CMU AUTRES (RC 88888888);M;89
ADREA HAUTE NORMANDIE (RO 030314200);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA HAUTE NORMANDIE (RO 030314200);MENAGES PREVOYANT (RC 78000400);;
ADREA HAUTE NORMANDIE (RO 030314200);MUTUELLE SORUAL (RC 67100149);;
ADREA HAUTE NORMANDIE (RO 030314200);MGEN INTERNATIONALE (RC 27777777);;
ADREA HAUTE NORMANDIE (RO 030314200);CMU CPAM (RC 99999997);M;89
ADREA HAUTE NORMANDIE (RO 030314200);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA HAUTE NORMANDIE (RO 030314200);BPCE MUTUELLE (RC 51007990);;
ADREA HAUTE NORMANDIE (RO 030314200);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA LANGUEDOC-ROUSILLON (RC 30005151);ADREA RÈGLEMENT (RC 311799878);;0
ADREA MUT ALPES DAUPHINE (RC 38911798);ADREA RÈGLEMENT (RC 311799878);;0
ADREA MUT INDEPENDANTS (RO 030374200);MGEN ACCES SANTE (RC 27011000);;
ADREA MUT INDEPENDANTS (RO 030374200);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUT INDEPENDANTS (RO 030374200);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUT INDEPENDANTS (RO 030374200);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUT INDEPENDANTS (RO 030374200);MENAGES PREVOYANT (RC 78000400);;
ADREA MUT INDEPENDANTS (RO 030374200);CMU AUTRES (RC 88888888);M;89
ADREA MUT INDEPENDANTS (RO 030374200);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUT INDEPENDANTS (RO 030374200);BPCE MUTUELLE (RC 51007990);;
ADREA MUT INDEPENDANTS (RO 030374200);AME PARTIELLE (RC 75500017);;
ADREA MUT INDEPENDANTS (RO 030374200);MUTUELLE SORUAL (RC 67100149);;
ADREA MUT INDEPENDANTS (RO 030374200);CMU CPAM (RC 99999997);M;89
ADREA MUT INDEPENDANTS (RO 030374200);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUT PAYS DE L'AIN (RC 01005628);ADREA RÈGLEMENT (RC 311799878);;
ADREA MUT PAYS DE SAVOIE (RC 73003589);ADREA RÈGLEMENT (RC 311799878);;0
ADREA MUTUELLE PI AMAD PR (RO 030432600);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PI AMAD PR (RO 030432600);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PI AMAD PR (RO 030432600);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PI AMAD PR (RO 030432600);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PI AMAD PR (RO 030432600);CMU AUTRES (RC 88888888);M;89
ADREA MUTUELLE PI AMAD PR (RO 030432600);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PI AMAD PR (RO 030432600);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PI AMAD PR (RO 030432600);MENAGES PREVOYANT (RC 78000400);;
ADREA MUTUELLE PI AMAD PR (RO 030432600);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PI AMAD PR (RO 030432600);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PI AMAD PR (RO 030432600);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PI AMAD PR (RO 030432600);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PI BOURGOG (RO 030095600);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PI BOURGOG (RO 030095600);MENAGES PREVOYANT (RC 78000400);;
ADREA MUTUELLE PI BOURGOG (RO 030095600);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PI BOURGOG (RO 030095600);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PI BOURGOG (RO 030095600);CMU AUTRES (RC 88888888);M;89
ADREA MUTUELLE PI BOURGOG (RO 030095600);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PI BOURGOG (RO 030095600);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PI BOURGOG (RO 030095600);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PI BOURGOG (RO 030095600);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PI BOURGOG (RO 030095600);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PI BOURGOG (RO 030095600);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PI BOURGOG (RO 030095600);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PI CENTRE  (RO 030075200);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PI CENTRE  (RO 030075200);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PI CENTRE  (RO 030075200);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PI CENTRE  (RO 030075200);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PI CENTRE  (RO 030075200);CMU AUTRES (RC 88888888);M;89
ADREA MUTUELLE PI CENTRE  (RO 030075200);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PI CENTRE  (RO 030075200);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PI CENTRE  (RO 030075200);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PI CENTRE  (RO 030075200);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PI CENTRE  (RO 030075200);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PI CENTRE  (RO 030075200);MENAGES PREVOYANT (RC 78000400);;
ADREA MUTUELLE PI CENTRE  (RO 030075200);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PI FRANCHE (RO 030194200);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PI FRANCHE (RO 030194200);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PI FRANCHE (RO 030194200);CMU AUTRES (RC 88888888);M;89
ADREA MUTUELLE PI FRANCHE (RO 030194200);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PI FRANCHE (RO 030194200);MENAGES PREVOYANT (RC 78000400);;
ADREA MUTUELLE PI FRANCHE (RO 030194200);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PI FRANCHE (RO 030194200);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PI FRANCHE (RO 030194200);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PI FRANCHE (RO 030194200);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PI FRANCHE (RO 030194200);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PI FRANCHE (RO 030194200);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PI FRANCHE (RO 030194200);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PI MUTI (RO 030293400);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PI MUTI (RO 030293400);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PI MUTI (RO 030293400);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PI MUTI (RO 030293400);CMU AUTRES (RC 88888888);M;89
ADREA MUTUELLE PI MUTI (RO 030293400);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PI MUTI (RO 030293400);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PI MUTI (RO 030293400);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PI MUTI (RO 030293400);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PI MUTI (RO 030293400);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PI MUTI (RO 030293400);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PI MUTI (RO 030293400);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PI MUTI (RO 030293400);MENAGES PREVOYANT (RC 78000400);;
ADREA MUTUELLE PI UNILIA (RO 030215400);MENAGES PREVOYANT (RC 78000400);;
ADREA MUTUELLE PI UNILIA (RO 030215400);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PI UNILIA (RO 030215400);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PI UNILIA (RO 030215400);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PI UNILIA (RO 030215400);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PI UNILIA (RO 030215400);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PI UNILIA (RO 030215400);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PI UNILIA (RO 030215400);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PI UNILIA (RO 030215400);CMU AUTRES (RC 88888888);M;89
ADREA MUTUELLE PI UNILIA (RO 030215400);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PI UNILIA (RO 030215400);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PI UNILIA (RO 030215400);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PROFESSION (RO 030455100);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PROFESSION (RO 030454200);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PROFESSION (RO 030455100);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PROFESSION (RO 030454200);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PROFESSION (RO 030455100);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PROFESSION (RO 030454200);CMU AUTRES (RC 88888888);M;89
ADREA MUTUELLE PROFESSION (RO 030455100);CMU AUTRES (RC 88888888);M;89
