REF_ETABLISSEMENT;REF_PRAT;'CMU';SUM(LG.MT_FACTURE);SUM(LG.MT_TRSS);SUM(LG.MT_RO);SUM(LG.MT_RC);SUM(LG.MT_PATIENT)
930027578;5228126;CMU;18873,24;5706,46;3437,5;9999,86;5435,88
930027578;5228126;NON CMU;45748,27;10395,81;7277,26;4723,84;33747,17
930027578;5228670;CMU;14401,74;4160,25;2912,26;10122,25;1367,23
930027578;5228670;NON CMU;22876,2;4596,82;3217,86;3264,86;16393,48
930027578;30017700;CMU;2912,37;1008,35;705,86;2112,09;94,42
930027578;30017700;NON CMU;1524,8;393,93;275,76;1104,04;145
930027578;100743557;CMU;3014,74;782,6;547,83;1592,58;874,33
930027578;100743557;NON CMU;5991,71;1730,87;1211,63;1883,89;2896,19
930027578;100799096;CMU;46154,72;10838,75;7684,05;26501,46;11969,21
930027578;100799096;NON CMU;76175,97;22311,04;15516,68;28264,13;31765,36
930027578;101208485;NON CMU;50;0;0;0;50
