REF_ETABLISSEMENT;RAISON_SOCIALE;REF_SPECIALITE_REELLE;LIBELLE;REF_ACTE;LIBELLE_ACTE;NOMBRE;TOTAL;TRSS;DEPASSEMENT
930027578;SANTEVY;19;Dentiste;ADDENTS01;Adjonction ou remplacement élément soudé01dent(s);3;129;129;0
930027578;SANTEVY;19;Dentiste;ADJ02;Adjonction02 dent(s);1;135;32,25;102,75
930027578;SANTEVY;19;Dentiste;OCAMPM3F;Amalgame 3 faces s/ prémolomolaires;3;122,91;122,91;0
930027578;SANTEVY;19;Dentiste;SEPRAC;Amputation ou séparation racine;1;0;0;0
930027578;SANTEVY;19;Dentiste;ASSPARO;Assainissement parodontal / lambeau sur un sexta;3;900;0;900
930027578;SANTEVY;19;Dentiste;ATD;ATD;1;0;0;0
930027578;SANTEVY;19;Dentiste;ASM;Avulsion dent à couronne sousmuqueuse;1;41,8;41,8;0
930027578;SANTEVY;19;Dentiste;APAN01;Avulsion dent ankylosée avec séparation01 dent(s);3;100,32;100,32;0
930027578;SANTEVY;19;Dentiste;APAA01;Avulsion dent permanente avec alvéolect01 dent(s);9;300,96;300,96;0
930027578;SANTEVY;19;Dentiste;APAA02;Avulsion dent permanente avec alvéolect02 dent(s);1;50,16;50,16;0
930027578;SANTEVY;19;Dentiste;APSR01;Avulsion dent permanente séparation rac01 dent(s);21;702,24;702,24;0
930027578;SANTEVY;19;Dentiste;AP01;Avulsion dent permanente01 dent(s);73;2441,12;2441,12;0
930027578;SANTEVY;19;Dentiste;AP02;Avulsion dent permanente02 dent(s);13;652,08;652,08;0
930027578;SANTEVY;19;Dentiste;AP03;Avulsion dent permanente03 dent(s);1;66,88;66,88;0
930027578;SANTEVY;19;Dentiste;AP04;Avulsion dent permanente04 dent(s);3;250,8;250,8;0
930027578;SANTEVY;19;Dentiste;AP05;Avulsion dent permanente05 dent(s);2;200,64;200,64;0
930027578;SANTEVY;19;Dentiste;AP06;Avulsion dent permanente06 dent(s);1;117,04;117,04;0
930027578;SANTEVY;19;Dentiste;AP10;Avulsion dent permanente10 dent(s);1;183,92;183,92;0
930027578;SANTEVY;19;Dentiste;ATI01;Avulsion dent temporaire incluse ou ret01 dent(s);1;83,6;83,6;0
930027578;SANTEVY;19;Dentiste;AT01;Avulsion dent temporaire01 dent(s);7;117,04;117,04;0
930027578;SANTEVY;19;Dentiste;AT02;Avulsion dent temporaire02 dent(s);2;50,16;50,16;0
930027578;SANTEVY;19;Dentiste;AT03;Avulsion dent temporaire03 dent(s);1;33,44;33,44;0
930027578;SANTEVY;19;Dentiste;AMMAN01;Avulsion d'une 3ème molaire mandibulaire;5;418;418;0
930027578;SANTEVY;19;Dentiste;AMMAX01;Avulsion d'une 3ème molaire maxillaire;1;83,6;83,6;0
930027578;SANTEVY;19;Dentiste;AMOI;Avulsion molaire retenue ou l'état de germe;1;83,6;83,6;0
930027578;SANTEVY;19;Dentiste;ARI;Avulsion racine incluse;6;501,6;501,6;0
930027578;SANTEVY;19;Dentiste;BBDR2;Bilan avec 2 radios rétro;3;126;126;0
930027578;SANTEVY;19;Dentiste;BBDR4;Bilan avec 4 radios rétro;15;810;810;0
930027578;SANTEVY;19;Dentiste;BBD;Bilan bucco-dentaire;8;240;240;0
930027578;SANTEVY;19;Dentiste;BC;Bridge Céramique ;9;9531,79;2236;7295,79
930027578;SANTEVY;19;Dentiste;BM;Bridge Métallique ;2;750,23;279,5;470,73
930027578;SANTEVY;19;Dentiste;COMBLEM;Comblement préimplantaire sousmuqueux;1;150;0;150
