"REF_ACTE";"LIBELLE_ACTE";"NOMBRE";"TOTAL";"TRSS";"DEPASSEMENT"
"ADDENTS01";"Adjonction ou remplacement élément soudé01dent(s)";3;129;129;0
"ADJ02";"Adjonction02 dent(s)";1;135;32,25;102,75
"OCAMPM3F";"Amalgame 3 faces s/ prémolomolaires";3;122,91;122,91;0
"SEPRAC";"Amputation ou séparation racine";1;0;0;0
"ASSPARO";"Assainissement parodontal / lambeau sur un sexta";3;900;0;900
"ATD";"ATD";1;0;0;0
"ASM";"Avulsion dent à couronne sousmuqueuse";1;41,8;41,8;0
"APAN01";"Avulsion dent ankylosée avec séparation01 dent(s)";3;100,32;100,32;0
"APAA01";"Avulsion dent permanente avec alvéolect01 dent(s)";9;300,96;300,96;0
"APAA02";"Avulsion dent permanente avec alvéolect02 dent(s)";1;50,16;50,16;0
"APSR01";"Avulsion dent permanente séparation rac01 dent(s)";21;702,24;702,24;0
"AP01";"Avulsion dent permanente01 dent(s)";73;2441,12;2441,12;0
"AP02";"Avulsion dent permanente02 dent(s)";13;652,08;652,08;0
"AP03";"Avulsion dent permanente03 dent(s)";1;66,88;66,88;0
"AP04";"Avulsion dent permanente04 dent(s)";3;250,8;250,8;0
"AP05";"Avulsion dent permanente05 dent(s)";2;200,64;200,64;0
"AP06";"Avulsion dent permanente06 dent(s)";1;117,04;117,04;0
"AP10";"Avulsion dent permanente10 dent(s)";1;183,92;183,92;0
"ATI01";"Avulsion dent temporaire incluse ou ret01 dent(s)";1;83,6;83,6;0
"AT01";"Avulsion dent temporaire01 dent(s)";7;117,04;117,04;0
"AT02";"Avulsion dent temporaire02 dent(s)";2;50,16;50,16;0
"AT03";"Avulsion dent temporaire03 dent(s)";1;33,44;33,44;0
"AMMAN01";"Avulsion d'une 3ème molaire mandibulaire";5;418;418;0
"AMMAX01";"Avulsion d'une 3ème molaire maxillaire";1;83,6;83,6;0
"AMOI";"Avulsion molaire retenue ou l'état de germe";1;83,6;83,6;0
"ARI";"Avulsion racine incluse";6;501,6;501,6;0
"BBDR2";"Bilan avec 2 radios rétro";3;126;126;0
"BBDR4";"Bilan avec 4 radios rétro";15;810;810;0
"BBD";"Bilan bucco-dentaire";8;240;240;0
"BC";"Bridge Céramique ";9;9531,79;2236;7295,79
"BM";"Bridge Métallique ";2;750,23;279,5;470,73
"COMBLEM";"Comblement préimplantaire sousmuqueux";1;150;0;150
"OCCOIC1F";"Composite 1 face s/ incisives-canines";22;424,16;424,16;0
"OCCOPM1F";"Composite 1 face s/ prémolomolaires";40;771,2;771,2;0
"OCCOIC2F";"Composite 2 faces s/ incisives-canines";14;472,36;472,36;0
"OCCOPM2F";"Composite 2 faces s/ prémolomolaires";12;404,88;404,88;0
"OCCOIC3F";"Composite 3 faces s/ incisives-canines";22;901,34;901,34;0
"OCCOPM3F";"Composite 3 faces s/ prémolomolaires";78;3195,66;3195,66;0
"OCCOPM3FSC";"Composite 3 faces s/ prémolomolaires < 13 ans";3;142,2;142,2;0
"CONEBEAM";"Cone beam";12;828;414;414
"C";"Consultation ";350;8027;8027;0
"CCZ";"Couronne céramique sur zircone";5;3090;537,5;2552,5
"CCC";"Couronne céramo-céramique";2;1190;215;975
"CCM4";"Couronne céramo-métallique";88;37089,85;9030;28059,85
"CCM";"Couronne céramo-métallique";128;39012,1;9675;29337,1
"CCAC";"Couronne métal";39;5677,11;2257,5;3419,61
"CP";"couronne provisoire";3;274;0;274
"CIMP";"Couronne sur implant";2;800;215;585
"CUREALV";"Curetage alvéole";1;0;0;0
"DTCPSTE05";"Dent contreplaquée sur stellite 05 dent(s)";1;161,25;161,25;0
"DESENDM";"Désobturation endodontique molaire";2;35;0;35
"DET";"Détartrage - Polissage";1013;23005,86;23005,86;0
"ABCES";"Evacuation abcès parodontal exclu voie endocanal";30;1200;1200;0
"EXERESE2";"Exérèse de lésion de l'os max/mand moins de 2cm";1;46,89;46,89;0
"QCNVPIMO";"Exérèse pulpe non vivante mol. immature 1 radio";6;257,79;257,79;0
"ITCNVPRMO";"Exérèse pulpe non vivante mol. immature 3 radios";2;97,9;97,9;0
"ITCNVPRMH";"Exérèse pulpe non vivante 1prém. immature 3 radios";2;64,16;64,16;0
"QCVPIC";"Exérèse pulpe vivante i/c 1 radio";2;37,73;37,73;0
"TCVPIC";"Exérèse pulpe vivante i/c 2 radios";37;856,52;856,52;0
"RTCVPIC";"Exérèse pulpe vivante i/c 3 radios";6;149,1;149,1;0
"TCVTMO";"Exérèse pulpe vivante molaire temporaire 2 radios";0;0;0;0
"RTCVTMO";"Exérèse pulpe vivante molaire temporaire 3 radios";1;15,96;15,96;0
"QCVPMO";"Exérèse pulpe vivante molaire 1 radio";6;257,79;257,79;0
"TCVPMO";"Exérèse pulpe vivante molaire 2 radios";46;2159,93;2159,93;0
"RTCVPMO";"Exérèse pulpe vivante molaire 3 radios";10;489,5;489,5;0
"TCVPPM";"Exérèse pulpe vivante prémolaire 2 radios";29;890,58;890,58;0
"RTCVPPM";"Exérèse pulpe vivante prémolaire 3 radios";6;192,48;192,48;0
"QCVPPMH";"Exérèse pulpe vivante 1ère prém. max. 1 radio";4;104,38;104,38;0
"TCVPPMH";"Exérèse pulpe vivante 1ère prém. max. 2 radios";20;601,7;601,7;0
"RTCVPPMH";"Exérèse pulpe vivante 1ère prém. max. 3 radios";6;192,48;192,48;0
"EXE1";"EXERESE< 2";1;34,55;34,55;0
"GINGIV01";"Gingivectomie01 dent(s)";54;4545;0;4545
"GINGIV201";"Gingivectomie01 dent(s)";1;100;0;100
"GINGIV02";"Gingivectomie02 dent(s)";2;140;0;140
"GINGIV06";"Gingivectomie06 dent(s)";1;250;41,8;208,2
"G";"Gouttière occlusale";13;2423,6;2246,4;177,2
"INLC";"Inlay céramique";5;561,46;122,91;438,55
"INL";"Inlay compo";26;4220;696,49;3523,51
"IC";"Inlay core ";185;38917,56;17402,1;21515,46
"ICL";"Inlay core céramisé";29;9470,01;3553,95;5916,06
"ICC";"Inlay core clavette ";3;380,4;288,1;92,3
"TF";"Inlay Core simple";0;0;0;0
"INLM";"Inlay metal";33;4750;778,43;3971,57
"INCM2";"Inter céramo-métallique Pos 2 ";1;0,1;0,1;0
"ICCM2";"Intermédiaire ceramo metal 2eme";1;0,1;0,1;0
"MRT01";"Mobile résine de transition 01 dent(s)";1;590;64,5;525,5
"MRT02";"Mobile résine de transition 02 dent(s)";1;590;64,5;525,5
"MRT08";"Mobile résine de transition 08 dent(s)";1;520;118,25;401,75
"OCAR";"Obturation + ancrage radiculaire";15;1192,95;1192,95;0
"OSTEO01";"Ostéoplastie01 dent(s)";3;240;0;240
"OSTEO02";"Ostéoplastie02 dent(s)";1;70;0;70
"PCCM";"Pilier céramo métal";5;1880;537,5;1342,5
"ICIM02";"Pilier implantaire02 dent(s)";1;400;0;400
"ICIM04";"Pilier implantaire04 dent(s)";2;1600;0;1600
"IMP01";"Pose d'1 implant01 dent(s)";14;11500;0;11500
"IMP02";"Pose d'1 implant02 dent(s)";4;5200;0;5200
"IMP03";"Pose d'1 implant03 dent(s)";0;0;0;0
"IMP04";"Pose d'1 implant04 dent(s)";2;5600;0;5600
"PCR2";"Prothèse complète biM résine ";2;5506;731;4775
"PCS2";"Prothèse complète biM stellite ";2;2113,28;623,5;1489,78
"PCS";"Prothèse complète UniM stellite ";1;1550;311,75;1238,25
"PR1";"Prothèse resine 1-3 dents";0;0;0;0
"PULPO";"Pulpotomie sur dent temporaire";3;50,61;50,61;0
"RHE";"Radio complémentaire";1;3,99;3,99;0
"ROC";"Radio occlusale";4;31,92;31,92;0
"RXPANO";"Radio panoramique";561;11200;11200;0
"R1S";"Radiographie 1 secteur ";50;391,02;391,02;0
"R2S";"Radiographie 2 secteurs ";6;95,76;95,76;0
"REBASAGEM";"Rebasage partiel ";2;280;0;280
"MEMBRANE";"Régénération parodontale";1;450;0;450
"REPR";"Réparation prothèse résine ";1;200;21,5;178,5
"REPSA";"Réparation stellite + adj 1 dent ";5;541,59;154,8;386,79
"REPSA2";"Réparation stellite + adj 2 dents ";1;135;45,15;89,85
"RESC01";"Rescellement couronne01 dent(s)";1;50;0;50
"RESANG1";"Restauration 1 angle s/ incisives-canines";8;344;344;0
"RESANG2";"Restauration 2 angles s/incisives-canines";15;1290;1290;0
"SEALANTM04";"Scellement sillons molaires permanentes04 dent(s)";8;694,08;694,08;0
"SEALANTM08";"Scellement sillons molaires permanentes08 dent(s)";1;173,52;173,52;0
"STEL01";"Stellite 01 dent(s)";8;2225,48;774;1451,48
"STEL02";"Stellite 02 dent(s)";13;4228,22;1354,5;2873,72
"STEL03";"Stellite 03 dent(s)";10;4005,48;1161;2844,48
"STEL04";"Stellite 04 dent(s)";10;5420,75;1429,75;3991
"STEL05";"Stellite 05 dent(s)";4;3830;860;2970
"STEL06";"Stellite 06 dent(s)";10;5928;1580,25;4347,75
"STEL07";"Stellite 07 dent(s)";7;4770;1182,5;3587,5
"STEL08";"Stellite 08 dent(s)";3;3030;741,75;2288,25
"STEL09";"Stellite 09 dent(s)";3;1940;516;1424
"STEL11";"Stellite 11 dent(s)";3;2140;559;1581
"STEL12";"Stellite 12 dent(s)";2;2680;580,5;2099,5
"STEL13";"Stellite 13 dent(s)";4;3130;903;2227
"SUPC";"Supplement crochet esthetique";2;200;0;200
"SURFRAD";"Surfaçage radiculaire sur un sextant";14;1850;0;1850
"QCPIC";"Traitement radiculaire i/c 1 radio";6;113,19;113,19;0
"TCPIC";"Traitement radiculaire i/c 2 radios";22;546,35;546,35;0
"RTCPIC";"Traitement radiculaire i/c 3 radios";5;133,14;133,14;0
"QCPMO";"Traitement radiculaire molaire 1 radio";12;515,58;515,58;0
"TCPMO";"Traitement radiculaire molaire 2 radios";61;2899,24;2899,24;0
"TCPMOSC";"Traitement radiculaire molaire 2 radios < 13ans";2;106,77;106,77;0
"RTCPMO";"Traitement radiculaire molaire 3 radios";6;293,7;293,7;0
"TCPPM";"Traitement radiculaire prémolaire 2 radios";38;1179,46;1179,46;0
"RTCPPM";"Traitement radiculaire prémolaire 3 radios";5;176,52;176,52;0
"TCPPMH";"Traitement radiculaire 1ère prém. max. 2 radios";12;361,02;361,02;0
"RTCPPMH";"Traitement radiculaire 1ère prém. max. 3 radios";3;112,36;112,36;0
"OCVIPM1F";"V. ionomere 1 face sur prémolomolaires";19;366,32;366,32;0
"OCVIPM2F";"V. ionomere 2 faces sur prémolomolaires";16;539,84;539,84;0
"OCVIPM2FSC";"V. ionomere 2 faces sur prémolomolaires < 13 ans";1;39,04;39,04;0
"OCVIIC3F";"V. ionomere 3 faces sur incisives-canines";2;81,94;81,94;0
"OCVIPM3F";"V. ionomere 3 faces sur prémolomolaires";28;1147,16;1147,16;0
