"Symbol","Name","Sector"
"MMM","3M Company","Industrials"
"AOS","A.O. Smith Corp","Industrials"
"ABT","Abbott Laboratories","Health_Care"
"ABBV","AbbVie Inc.","Health_Care"
"ABMD","ABIOMED Inc","Health_Care"
"ACN","Accenture plc","Information_Technology"
"ATVI","Activision Blizzard","Communication_Services"
"ADBE","Adobe Inc.","Information_Technology"
"AAP","Advance Auto Parts","Consumer_Discretionary"
"AMD","Advanced Micro Devices Inc","Information_Technology"
"AES","AES Corp","Utilities"
"AFL","AFLAC Inc","Financials"
"A","Agilent Technologies Inc","Health_Care"
"APD","Air Products & Chemicals Inc","Materials"
"AKAM","Akamai Technologies Inc","Information_Technology"
"ALK","Alaska Air Group Inc","Industrials"
"ALB","Albemarle Corp","Materials"
"ARE","Alexandria Real_Estate Equities","Real_Estate"
"ALXN","Alexion Pharmaceuticals","Health_Care"
"ALGN","Align Technology","Health_Care"
"ALLE","Allegion","Industrials"
"LNT","Alliant Energy Corp","Utilities"
"ALL","Allstate Corp","Financials"
"GOOGL","Alphabet Inc. (Class A)","Communication_Services"
"GOOG","Alphabet Inc. (Class C)","Communication_Services"
"MO","Altria Group Inc","Consumer_Staples"
"AMZN","Amazon.com Inc.","Consumer_Discretionary"
"AMCR","Amcor plc","Materials"
"AEE","Ameren Corp","Utilities"
"AAL","American Airlines Group","Industrials"
"AEP","American Electric Power","Utilities"
"AXP","American Express Co","Financials"
"AIG","American International Group","Financials"
"AMT","American Tower Corp.","Real_Estate"
"AWK","American Water Works Company Inc","Utilities"
"AMP","Ameriprise Financial","Financials"
"ABC","AmerisourceBergen Corp","Health_Care"
"AME","AMETEK Inc.","Industrials"
"AMGN","Amgen Inc.","Health_Care"
"APH","Amphenol Corp","Information_Technology"
"ADI","Analog Devices Inc.","Information_Technology"
"ANSS","ANSYS","Information_Technology"
"ANTM","Anthem","Health_Care"
"AON","Aon plc","Financials"
"APA","Apache Corporation","Energy"
"AIV","Apartment Investment & Management","Real_Estate"
"AAPL","Apple Inc.","Information_Technology"
"AMAT","Applied Materials Inc.","Information_Technology"
"APTV","Aptiv PLC","Consumer_Discretionary"
"ADM","Archer-Daniels-Midland Co","Consumer_Staples"
"ANET","Arista Networks","Information_Technology"
