,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
0,MMM,3M Company,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,496138.92,9922.78,2016.93,-878.01,8.0,4.0,66.67,-364.26,-7.29,252.0,-220.0,17 days 00:00:00.000000000,12,75.0,25.0,2.3
1,AOS,A.O. Smith Corp,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,499215.27,9984.31,4641.14,-425.87,18.0,8.0,69.23,-959.5,-19.19,258.0,-53.0,6 days 11:04:36.923076923,26,57.69,42.31,10.9
2,ABT,Abbott Laboratories,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,495970.11,9919.4,1167.49,-197.38,2.0,1.0,66.67,-178.21,-3.56,584.0,-197.0,11 days 16:00:00.000000000,3,100.0,0.0,5.91
3,ABBV,AbbVie Inc.,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,495068.63,9901.37,990.58,-921.95,5.0,5.0,50.0,-222.6,-4.45,198.0,-184.0,21 days 00:00:00.000000000,10,80.0,20.0,1.07
4,ACN,Accenture plc,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,496689.22,9933.78,2143.06,-453.84,19.0,5.0,79.17,-200.76,-4.02,113.0,-91.0,5 days 15:00:00.000000000,24,54.17,45.83,4.72
5,ATVI,Activision Blizzard,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,499793.97,9995.88,5285.47,-491.5,30.0,8.0,78.95,-468.66,-9.37,176.0,-61.0,3 days 18:18:56.842105263,38,52.63,47.37,10.75
6,AYI,Acuity Brands Inc,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,496646.97,9932.94,1868.07,-221.1,11.0,3.0,78.57,-473.43,-9.47,170.0,-74.0,14 days 17:08:34.285714285,14,64.29,35.71,8.45
7,ADBE,Adobe Systems Inc,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,497049.85,9941.0,2689.51,-639.66,15.0,3.0,83.33,-161.64,-3.23,179.0,-213.0,6 days 12:00:00.000000000,18,83.33,16.67,4.2
8,AAP,Advance Auto Parts,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,495528.5,9910.57,528.5,0.0,1.0,0.0001,99.99,-528.55,-10.57,528.0,0.0,0 days 00:00:00.000000000,1,0.0,100.0,inf
9,AMD,Advanced Micro Devices Inc,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,500932.14,10018.64,7061.13,-1128.99,26.0,7.0,78.79,-686.43,-13.73,272.0,-161.0,5 days 15:16:21.818181818,33,42.42,57.58,6.25
10,AES,AES Corp,Utilities,234 days 00:00:00.000000000,2018-12-17,2019-08-08,495073.81,9901.48,746.13,-672.32,3.0,1.0,75.0,-300.0,-6.0,249.0,-672.0,10 days 12:00:00.000000000,4,25.0,75.0,1.11
11,AMG,Affiliated Managers Group Inc,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,497566.67,9951.33,3347.84,-781.17,22.0,8.0,73.33,-316.68,-6.33,152.0,-98.0,5 days 19:12:00.000000000,30,50.0,50.0,4.29
12,AFL,AFLAC Inc,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,495251.39,9905.03,873.76,-622.37,12.0,11.0,52.17,-440.55,-8.81,73.0,-57.0,5 days 04:10:26.086956521,23,17.39,82.61,1.4
13,A,Agilent Technologies Inc,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,498344.14,9966.88,3646.98,-302.84,26.0,6.0,81.25,-402.96,-8.06,140.0,-50.0,5 days 00:00:00.000000000,32,62.5,37.5,12.04
14,APD,Air Products & Chemicals Inc,Materials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,496927.98,9938.56,2354.64,-426.66,20.0,9.0,68.97,-155.31,-3.11,118.0,-47.0,5 days 00:00:00.000000000,29,48.28,51.72,5.52
15,AKAM,Akamai Technologies Inc,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,497861.17,9957.22,3493.64,-632.47,20.0,7.0,74.07,-403.48,-8.07,175.0,-90.0,5 days 13:20:00.000000000,27,33.33,66.67,5.52
16,ALK,Alaska Air Group Inc,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,498188.74,9963.77,3447.92,-259.18,30.0,10.0,75.0,-580.0,-11.6,115.0,-26.0,3 days 14:24:00.000000000,40,30.0,70.0,13.3
17,ALB,Albemarle Corp,Materials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,499088.49,9981.77,4841.01,-752.52,15.0,5.0,75.0,-559.35,-11.19,323.0,-151.0,9 days 10:48:00.000000000,20,40.0,60.0,6.43
18,ARE,Alexandria Real Estate Equities Inc,Real Estate,234 days 00:00:00.000000000,2018-12-17,2019-08-08,496145.94,9922.92,1727.7,-581.76,12.0,8.0,60.0,-268.45,-5.37,144.0,-73.0,9 days 01:12:00.000000000,20,15.0,85.0,2.97
19,ALXN,Alexion Pharmaceuticals,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,497667.46,9953.35,4557.32,-1889.86,23.0,3.0,88.46,-974.21,-19.48,198.0,-630.0,6 days 07:23:04.615384615,26,19.23,80.77,2.41
20,ALGN,Align Technology,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,497187.9,9943.76,4575.65,-2387.75,12.0,7.0,63.16,-360.74,-7.21,381.0,-341.0,7 days 02:31:34.736842105,19,84.21,15.79,1.92
21,ALLE,Allegion,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,497602.44,9952.05,2949.41,-346.97,24.0,7.0,77.42,-378.78,-7.58,123.0,-50.0,5 days 03:52:15.483870967,31,25.81,74.19,8.5
22,AGN,"Allergan, Plc",Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,495318.92,9906.38,1725.04,-1406.12,3.0,2.0,60.0,-932.25,-18.64,575.0,-703.0,40 days 00:00:00.000000000,5,20.0,80.0,1.23
23,ADS,Alliance Data Systems,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,496807.66,9936.15,2957.89,-1150.23,10.0,8.0,55.56,-279.14,-5.58,296.0,-144.0,10 days 14:40:00.000000000,18,100.0,0.0,2.57
24,LNT,Alliant Energy Corp,Utilities,234 days 00:00:00.000000000,2018-12-17,2019-08-08,495983.94,9919.68,1451.26,-467.32,17.0,5.0,77.27,-323.76,-6.48,85.0,-93.0,7 days 13:05:27.272727272,22,40.91,59.09,3.11
