ID,ENSEIGNE,ADRESSE,COMPLEMENT,CODE POSTAL,COMMUNE,NATURE DU DEBIT
1,,32 route des grands champs,TABAC,1400,L-ABERGEMENT-CLEMENCIAT,Ordinaire permanent
2,,42 RUE ROGER VAILLANT,CC DAME LOUISE-TABAC-,1500,AMBERIEU-EN-BUGEY,Ordinaire permanent
3,TABAC DE LA GARE,6 AV DU GENERAL SARRAIL,TABAC,1500,AMBERIEU-EN-BUGEY,Ordinaire permanent
4,MAISON DE LA PRESSE,14 R BERARD,TABAC,1500,AMBERIEU-EN-BUGEY,Ordinaire permanent
5,,8 AV  PAUL PAINLEVE,TABAC,1500,AMBERIEU-EN-BUGEY,Ordinaire permanent
6,LA ROSERAIE,33  rue de la ruelle,TABAC,1330,AMBERIEUX-EN-DOMBES,Ordinaire permanent
7,,114 GRANDE RUE,TABAC,1500,AMBRONAY,Ordinaire permanent
8,L'EQUATEUR,69 R GENERAL ANDREA,TABAC,1100,ARBENT,Ordinaire permanent
9,VIVAL,97 R CENTRALE,TABAC,1200,BELLEGARDE-SUR-VALSERINE,Ordinaire permanent
10,A MA CAMPAGNE,RUE JEAN MARIE VIANNEY,TABAC,1480,ARS-SUR-FORMANS,Ordinaire permanent
11,,GRANDE RUE,TABAC,1510,ARTEMARE,Ordinaire permanent
12,,500 grande rue,TABAC,1340,ATTIGNAT,Ordinaire permanent
13,VIVAL,60 R MARSALE,TABAC,1380,BAGE-LE-CHATEL,Ordinaire permanent
14,LE PATIO,60  PL PUTHOD,TABAC,1380,BAGE-LE-CHATEL,Ordinaire permanent
15,,238 rue Edgar BERLIOZ,TABAC,1480,BEAUREGARD,Ordinaire permanent
16,LE TOBAGO,13 PL DE L HOTEL DE VILLE,TABAC,1810,BELLIGNAT,Ordinaire permanent
17,,2 bis RTE DE LYON,TABAC,1360,BELIGNEUX,Ordinaire permanent
18,,GARE SNCF VESTIBULE,TABAC,1200,BELLEGARDE-SUR-VALSERINE,SpŽcial
19,LE NICOTIANE,6 R JOSEPH BERTOLA,TABAC,1200,BELLEGARDE-SUR-VALSERINE,Ordinaire permanent
20,TABAC PRESSE DU CREDO, 4 rue Joliot Curie ,TABAC - CENTRE COMMERCIALE LE CREDO,1200,BELLEGARDE-SUR-VALSERINE,Ordinaire permanent
21,,84 R DE LA REPUBLIQUE,TABAC,1200,BELLEGARDE-SUR-VALSERINE,Ordinaire permanent
22,LE CALUMET,2 PL DES TERREAUX,TABAC,1300,BELLEY,Ordinaire permanent
23,CïTE PRESSE,16 R DE LA REPUBLIQUE,TABAC,1300,BELLEY,Ordinaire permanent
24,LA TABATIERE,3 PL DE LA VICTOIRE,TABAC,1300,BELLEY,Ordinaire permanent
25,MAISON DE LA PRESSE,73 GRANDE RUE,TABAC,1300,BELLEY,Ordinaire permanent
26,LE DOMJOHN BAR,656 RUE CENTRALE,TABAC,1700,BEYNOST,Ordinaire permanent
27,VIVAL,Place de l'Eglise,TABAC,1200,BILLIAT,Ordinaire permanent
28,LE SEVEN,1372 route Nationale,TABAC,1120,LA-BOISSE,Ordinaire permanent
29,,8 R NOTRE DAME,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
30,LE CLEMENCEAU,1 PL G CLEMENCEAU,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
31,,17 FG DE LYON,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
32,TABAC MAG PRESSE,5 PL EDGARD QUINET,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
33,,12 AV ALSACE LORRAINE,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
34,BAR DES HALLES,9 AV  MAGINOT,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
35,,8 chemin des prŽs  de brou,CENTRE COMMERCIAL CARREFOUR,1000,BOURG-EN-BRESSE,Ordinaire permanent
36,,35 R DU MARECHAL FOCH,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
37,,12 CRS DE VERDUN,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
38,,27 R CHARLES ROBIN,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
39,,48 R GABRIEL VICAIRE,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
40,,96 BD DE BROU,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
