Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield"
A,"Agilent Technologies",22470264000,23.26,3.04,316000000,1.41,0.66,0.92%
AAL,"American Airlines Gp",11715080000,5.84,4.51,1412000000,1.66,0.4,1.52%
AAP,"Advance Auto Parts Inc",9847837000,18.36,7.52,423850000,0.87,0.24,0.17%
AAPL,"Apple Inc",943333696000,17.82,11.73,59531000000,1.25,3.08,1.48%
ABBV,"Abbvie Inc",97195536000,7.85,8.44,5687000000,0.96,4.28,6.51%
ABC,"Amerisourcebergen Corp",17291178000,11.84,6.92,1658410000,0.97,1.6,1.94%
ABMD,"Abiomed Inc",8760936000,49.87,3.85,259020000,0.31,0,0.00%
ABT,"Abbott Laboratories",150794400000,28.18,3.01,2368000000,1.12,1.28,1.50%
ACN,"Accenture Plc",133162704000,27.6,7.2,4059910000,1.04,2.92,1.47%
ADBE,"Adobe Systems Inc",138112256000,49.76,5.76,2590770000,1.08,0,0.00%
ADI,"Analog Devices",40571864000,19.82,5.5,1495430000,1.41,2.16,1.97%
ADM,"Archer Daniels Midland",21192860000,13.19,2.86,1810000000,1.05,1.4,3.68%
ADP,"Automatic Data Procs",73700880000,31.09,5.45,2292800000,0.91,3.16,1.86%
ADS,"Alliance Data Systems Corp",6282498000,6.13,20.02,963100000,1.63,2.52,2.05%
ADSK,"Autodesk Inc",31366130000,209.75,0.33,-80800000,1.79,0,0.00%
AEE,"Ameren Corp",18963702000,23.52,3.28,815000000,0.24,1.9,2.46%
AEP,"American Electric Power Company",45009416000,21.81,4.16,1923800000,0.13,2.68,2.94%
AES,"The Aes Corp",10176820000,12.1,1.25,1203000000,1.03,0.55,3.56%
AFL,"Aflac Incorporated",37152420000,11.53,4.3,2920000000,0.71,1.08,2.15%
AGN,"Allergan Plc",52393428000,9.55,16.71,-5096400000,1.63,2.96,1.85%
AIG,"American International Group",45270016000,25.72,2.04,-6000000,1.19,1.28,2.46%
AIV,"Apartment Investment and Management",7593084000,20.34,6.03,666230000,0.57,1.56,3.06%
AIZ,"Assurant Inc",7519113000,19.11,6.38,251000000,0.54,2.4,1.95%
AJG,"Arthur J. Gallagher & CO",16878410000,24.73,3.59,633500000,0.83,1.72,1.90%
AKAM,"Akamai Technologies",14704845000,27.84,3.21,298370000,0.62,0,0.00%
ALB,"Albemarle Corp",6542516000,10.76,5.62,693560000,1.59,1.47,2.38%
ALGN,"Align Technology",14625179000,39.2,4.59,400240000,1.95,0,0.00%
ALK,"Alaska Air Group",7361804000,11.99,5,437000000,0.86,1.4,2.34%
ALL,"Allstate Corp",33705968000,13.36,7.65,2252000000,0.82,2,1.95%
ALLE,"Allegion Plc",8989306000,20.87,4.59,434900000,1.15,1.08,1.12%
ALXN,"Alexion Pharm Inc",22593114000,13.26,8.46,77600000,1.65,0,0.00%
AMAT,"Applied Materials",44358668000,14.69,3.22,3313000000,1.68,0.84,1.75%
AMCR,"Amcor Plc",15942770000,17.55,0.55,225700000,0.77,0.25,2.56%
AMD,"Adv Micro Devices",34140424000,142.95,0.22,337000000,3.06,0,0.00%
AME,"Amtek Inc",19621772000,23.09,3.73,777930000,1.22,0.56,0.65%
AMG,"Affiliated Managers Group",3880543000,5.58,13.57,243600000,1.63,1.28,1.67%
AMGN,"Amgen Inc",125109616000,14.14,14.64,8394000000,1.19,5.8,2.78%
AMP,"Ameriprise Financial Services",16879612000,8.37,15.35,2098000000,1.8,3.88,3.01%
AMT,"American Tower Corp",101901664000,28.45,3.3,1236400000,0.5,3.68,1.60%
AMZN,"Amazon.com Inc",878652544000,74.12,24.1,10073000000,1.55,0,0.00%
ANET,"Arista Networks Inc",17369060000,28.46,7.99,328120000,1.58,0,0.00%
ANSS,"Ansys Inc",17371900000,39.03,5.36,419380000,1.42,0,0.00%
ANTM,"Anthem Inc",66901260000,15.35,16.92,3750000000,0.71,3.2,1.22%
AON,"AON Plc",45953816000,22.22,8.65,1134000000,0.86,1.76,0.90%
AOS,"Smith [A.O.] Corp",7647981000,18.53,2.49,444200000,1.54,0.88,1.89%
